Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(1367180k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T20:43:56.228-0800: 0.092: [GC (Allocation Failure) [PSYoungGen: 33280K->5116K(38400K)] 33280K->11864K(125952K), 0.0040604 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2020-10-28T20:43:56.243-0800: 0.107: [GC (Allocation Failure) [PSYoungGen: 38229K->5109K(38400K)] 44977K->23290K(125952K), 0.0052790 secs] [Times: user=0.01 sys=0.03, real=0.00 secs] 
2020-10-28T20:43:56.253-0800: 0.118: [GC (Allocation Failure) [PSYoungGen: 37852K->5117K(38400K)] 56032K->34636K(125952K), 0.0047612 secs] [Times: user=0.02 sys=0.03, real=0.00 secs] 
2020-10-28T20:43:56.264-0800: 0.128: [GC (Allocation Failure) [PSYoungGen: 38353K->5109K(38400K)] 67873K->44766K(125952K), 0.0040775 secs] [Times: user=0.01 sys=0.02, real=0.00 secs] 
2020-10-28T20:43:56.273-0800: 0.137: [GC (Allocation Failure) [PSYoungGen: 38179K->5115K(38400K)] 77836K->54955K(125952K), 0.0045050 secs] [Times: user=0.01 sys=0.02, real=0.00 secs] 
2020-10-28T20:43:56.282-0800: 0.147: [GC (Allocation Failure) [PSYoungGen: 38381K->5096K(19968K)] 88221K->67811K(107520K), 0.0055082 secs] [Times: user=0.02 sys=0.03, real=0.00 secs] 
2020-10-28T20:43:56.291-0800: 0.155: [GC (Allocation Failure) [PSYoungGen: 19904K->7375K(29184K)] 82619K->71941K(116736K), 0.0016627 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T20:43:56.295-0800: 0.160: [GC (Allocation Failure) [PSYoungGen: 22223K->11131K(29184K)] 86789K->76535K(116736K), 0.0014738 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T20:43:56.300-0800: 0.164: [GC (Allocation Failure) [PSYoungGen: 25915K->12542K(29184K)] 91319K->80421K(116736K), 0.0022102 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T20:43:56.306-0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 27355K->7860K(29184K)] 95234K->84305K(116736K), 0.0040386 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2020-10-28T20:43:56.310-0800: 0.174: [Full GC (Ergonomics) [PSYoungGen: 7860K->0K(29184K)] [ParOldGen: 76444K->78696K(87552K)] 84305K->78696K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0102987 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2020-10-28T20:43:56.323-0800: 0.187: [Full GC (Ergonomics) [PSYoungGen: 14726K->0K(29184K)] [ParOldGen: 78696K->84058K(87552K)] 93422K->84058K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0067621 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-10-28T20:43:56.331-0800: 0.196: [Full GC (Ergonomics) [PSYoungGen: 14834K->368K(29184K)] [ParOldGen: 84058K->87482K(87552K)] 98893K->87850K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0087196 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2020-10-28T20:43:56.343-0800: 0.207: [Full GC (Ergonomics) [PSYoungGen: 14788K->5537K(29184K)] [ParOldGen: 87482K->87327K(87552K)] 102270K->92864K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0076690 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.352-0800: 0.216: [Full GC (Ergonomics) [PSYoungGen: 14705K->9984K(29184K)] [ParOldGen: 87327K->87465K(87552K)] 102032K->97449K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0132088 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.366-0800: 0.231: [Full GC (Ergonomics) [PSYoungGen: 14581K->11732K(29184K)] [ParOldGen: 87465K->87214K(87552K)] 102047K->98946K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0092767 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.376-0800: 0.240: [Full GC (Ergonomics) [PSYoungGen: 14585K->12035K(29184K)] [ParOldGen: 87214K->87403K(87552K)] 101799K->99439K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0092392 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.386-0800: 0.250: [Full GC (Ergonomics) [PSYoungGen: 14646K->12474K(29184K)] [ParOldGen: 87403K->87403K(87552K)] 102049K->99877K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0047168 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.391-0800: 0.255: [Full GC (Ergonomics) [PSYoungGen: 14842K->13220K(29184K)] [ParOldGen: 87403K->87205K(87552K)] 102246K->100426K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0091471 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-10-28T20:43:56.401-0800: 0.265: [Full GC (Ergonomics) [PSYoungGen: 14646K->13523K(29184K)] [ParOldGen: 87205K->87205K(87552K)] 101851K->100729K(116736K), [Metaspace: 2711K->2711K(1056768K)], 0.0023592 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
