Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(317172k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T22:59:59.518-0800: 0.549: [GC (Allocation Failure) [PSYoungGen: 131584K->7155K(153088K)] 131584K->7171K(502784K), 0.0048091 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:59:59.784-0800: 0.814: [GC (Allocation Failure) [PSYoungGen: 138739K->10783K(153088K)] 138755K->10807K(502784K), 0.0101194 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-28T22:59:59.815-0800: 0.846: [GC (Metadata GC Threshold) [PSYoungGen: 20117K->5536K(153088K)] 20141K->5568K(502784K), 0.0035039 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-10-28T22:59:59.819-0800: 0.849: [Full GC (Metadata GC Threshold) [PSYoungGen: 5536K->0K(153088K)] [ParOldGen: 32K->5249K(349696K)] 5568K->5249K(502784K), [Metaspace: 20448K->20448K(1067008K)], 0.0206732 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2020-10-28T23:00:00.335-0800: 1.366: [GC (Allocation Failure) [PSYoungGen: 131584K->6510K(153088K)] 136833K->11831K(502784K), 0.0033209 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:00.908-0800: 1.938: [GC (Allocation Failure) [PSYoungGen: 138094K->13046K(153088K)] 143415K->18375K(502784K), 0.0066247 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-10-28T23:00:01.258-0800: 2.288: [GC (Allocation Failure) [PSYoungGen: 144630K->14312K(154112K)] 149959K->20522K(503808K), 0.0076129 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-10-28T23:00:23.175-0800: 24.205: [GC (Metadata GC Threshold) [PSYoungGen: 85779K->13593K(153600K)] 91989K->19811K(503296K), 0.0072983 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2020-10-28T23:00:23.182-0800: 24.212: [Full GC (Metadata GC Threshold) [PSYoungGen: 13593K->0K(153600K)] [ParOldGen: 6217K->16777K(349696K)] 19811K->16777K(503296K), [Metaspace: 33861K->33861K(1081344K)], 0.0527948 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2020-10-28T23:00:23.664-0800: 24.694: [GC (Allocation Failure) [PSYoungGen: 139776K->5361K(156160K)] 156553K->22147K(505856K), 0.0036173 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:23.991-0800: 25.021: [GC (Allocation Failure) [PSYoungGen: 143089K->4737K(156160K)] 159875K->21530K(505856K), 0.0028880 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
