Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(205900k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-28T22:57:39.211-0800: 0.856: [Full GC (Metadata GC Threshold) 2020-10-28T22:57:39.211-0800: 0.856: [Tenured: 0K->14336K(1398144K), 0.0619215 secs] 313175K->14336K(2027264K), [Metaspace: 20536K->20536K(1067008K)], 0.0620462 secs] [Times: user=0.13 sys=0.00, real=0.06 secs] 
2020-10-28T22:57:45.253-0800: 6.898: [GC (Allocation Failure) 2020-10-28T22:57:45.253-0800: 6.898: [DefNew: 559232K->19205K(629120K), 0.0388290 secs] 573568K->33542K(2027264K), 0.0389308 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2020-10-28T22:57:45.303-0800: 6.948: [Full GC (Metadata GC Threshold) 2020-10-28T22:57:45.303-0800: 6.948: [Tenured: 14336K->29053K(1398144K), 0.0602643 secs] 94731K->29053K(2027264K), [Metaspace: 33908K->33908K(1081344K)], 0.0603691 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2020-10-28T22:57:46.856-0800: 8.500: [GC (Allocation Failure) 2020-10-28T22:57:46.856-0800: 8.500: [DefNew: 559232K->5201K(629120K), 0.0104847 secs] 588285K->34254K(2027264K), 0.0105890 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:48.003-0800: 9.647: [GC (Allocation Failure) 2020-10-28T22:57:48.003-0800: 9.647: [DefNew: 564433K->4642K(629120K), 0.0063093 secs] 593486K->33696K(2027264K), 0.0064137 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:48.966-0800: 10.611: [GC (Allocation Failure) 2020-10-28T22:57:48.966-0800: 10.611: [DefNew: 563874K->4599K(629120K), 0.0056132 secs] 592928K->33653K(2027264K), 0.0059161 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:49.707-0800: 11.352: [GC (Allocation Failure) 2020-10-28T22:57:49.707-0800: 11.352: [DefNew: 563831K->4610K(629120K), 0.0047743 secs] 592885K->33664K(2027264K), 0.0048764 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:50.278-0800: 11.922: [GC (Allocation Failure) 2020-10-28T22:57:50.278-0800: 11.922: [DefNew: 563842K->4600K(629120K), 0.0050687 secs] 592896K->33654K(2027264K), 0.0051837 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:50.861-0800: 12.506: [GC (Allocation Failure) 2020-10-28T22:57:50.861-0800: 12.506: [DefNew: 563832K->4619K(629120K), 0.0049570 secs] 592886K->33673K(2027264K), 0.0050633 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:51.417-0800: 13.061: [GC (Allocation Failure) 2020-10-28T22:57:51.417-0800: 13.061: [DefNew: 563851K->4611K(629120K), 0.0049702 secs] 592905K->33665K(2027264K), 0.0050658 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:51.900-0800: 13.545: [GC (Allocation Failure) 2020-10-28T22:57:51.900-0800: 13.545: [DefNew: 563843K->4657K(629120K), 0.0052775 secs] 592897K->33711K(2027264K), 0.0053748 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:52.345-0800: 13.990: [GC (Allocation Failure) 2020-10-28T22:57:52.346-0800: 13.990: [DefNew: 563889K->4634K(629120K), 0.0050031 secs] 592943K->33688K(2027264K), 0.0050977 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:52.856-0800: 14.501: [GC (Allocation Failure) 2020-10-28T22:57:52.856-0800: 14.501: [DefNew: 563866K->4628K(629120K), 0.0052522 secs] 592920K->33682K(2027264K), 0.0053417 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:53.335-0800: 14.980: [GC (Allocation Failure) 2020-10-28T22:57:53.335-0800: 14.980: [DefNew: 563860K->4638K(629120K), 0.0056798 secs] 592914K->33691K(2027264K), 0.0057884 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:53.785-0800: 15.429: [GC (Allocation Failure) 2020-10-28T22:57:53.785-0800: 15.429: [DefNew: 563870K->4688K(629120K), 0.0055648 secs] 592923K->33742K(2027264K), 0.0056556 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:54.196-0800: 15.840: [GC (Allocation Failure) 2020-10-28T22:57:54.196-0800: 15.840: [DefNew: 563920K->4644K(629120K), 0.0053962 secs] 592974K->33698K(2027264K), 0.0054698 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:54.546-0800: 16.191: [GC (Allocation Failure) 2020-10-28T22:57:54.546-0800: 16.191: [DefNew: 563873K->4664K(629120K), 0.0055118 secs] 592926K->33718K(2027264K), 0.0055863 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:54.849-0800: 16.493: [GC (Allocation Failure) 2020-10-28T22:57:54.849-0800: 16.493: [DefNew: 563896K->4638K(629120K), 0.0053736 secs] 592950K->33692K(2027264K), 0.0054435 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:55.151-0800: 16.796: [GC (Allocation Failure) 2020-10-28T22:57:55.151-0800: 16.796: [DefNew: 563870K->227K(629120K), 0.0075135 secs] 592924K->33710K(2027264K), 0.0075910 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-28T22:57:55.463-0800: 17.107: [GC (Allocation Failure) 2020-10-28T22:57:55.463-0800: 17.107: [DefNew: 559459K->250K(629120K), 0.0037597 secs] 592942K->33741K(2027264K), 0.0038232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:55.775-0800: 17.420: [GC (Allocation Failure) 2020-10-28T22:57:55.776-0800: 17.420: [DefNew: 559482K->143K(629120K), 0.0036836 secs] 592973K->33685K(2027264K), 0.0037495 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:56.267-0800: 17.912: [GC (Allocation Failure) 2020-10-28T22:57:56.267-0800: 17.912: [DefNew: 559375K->130K(629120K), 0.0035679 secs] 592917K->33689K(2027264K), 0.0036329 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:56.587-0800: 18.231: [GC (Allocation Failure) 2020-10-28T22:57:56.587-0800: 18.231: [DefNew: 559362K->123K(629120K), 0.0033487 secs] 592921K->33690K(2027264K), 0.0034148 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:56.891-0800: 18.536: [GC (Allocation Failure) 2020-10-28T22:57:56.892-0800: 18.536: [DefNew: 559355K->114K(629120K), 0.0029868 secs] 592922K->33696K(2027264K), 0.0030522 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
