Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(389988k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-28T22:52:37.652-0800: 0.702: [GC (Allocation Failure) 2020-10-28T22:52:37.652-0800: 0.702: [DefNew: 139776K->7134K(157248K), 0.0104009 secs] 139776K->7134K(506816K), 0.0104850 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-28T22:52:37.986-0800: 1.037: [Full GC (Metadata GC Threshold) 2020-10-28T22:52:37.986-0800: 1.037: [Tenured: 0K->10543K(349568K), 0.0399200 secs] 137412K->10543K(506816K), [Metaspace: 20448K->20448K(1067008K)], 0.0400029 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2020-10-28T22:52:38.516-0800: 1.567: [GC (Allocation Failure) 2020-10-28T22:52:38.516-0800: 1.567: [DefNew: 139776K->6499K(157248K), 0.0134238 secs] 150319K->17042K(506816K), 0.0135038 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-28T22:52:39.168-0800: 2.218: [GC (Allocation Failure) 2020-10-28T22:52:39.168-0800: 2.218: [DefNew: 146275K->13116K(157248K), 0.0229273 secs] 156818K->23659K(506816K), 0.0230215 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2020-10-28T22:52:39.603-0800: 2.654: [GC (Allocation Failure) 2020-10-28T22:52:39.603-0800: 2.654: [DefNew: 152892K->4600K(157248K), 0.0291427 secs] 163435K->25847K(506816K), 0.0292365 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2020-10-28T22:53:20.431-0800: 43.481: [Full GC (Metadata GC Threshold) 2020-10-28T22:53:20.431-0800: 43.481: [Tenured: 21246K->24615K(349568K), 0.0515357 secs] 89204K->24615K(506816K), [Metaspace: 33871K->33871K(1081344K)], 0.0516437 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2020-10-28T22:53:20.879-0800: 43.929: [GC (Allocation Failure) 2020-10-28T22:53:20.879-0800: 43.929: [DefNew: 139776K->5033K(157248K), 0.0077487 secs] 164391K->29649K(506816K), 0.0078457 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:21.218-0800: 44.267: [GC (Allocation Failure) 2020-10-28T22:53:21.218-0800: 44.267: [DefNew: 144809K->4497K(157248K), 0.0056699 secs] 169425K->29112K(506816K), 0.0057676 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:21.497-0800: 44.547: [GC (Allocation Failure) 2020-10-28T22:53:21.497-0800: 44.547: [DefNew: 144273K->4435K(157248K), 0.0052853 secs] 168888K->29051K(506816K), 0.0053744 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:21.748-0800: 44.798: [GC (Allocation Failure) 2020-10-28T22:53:21.748-0800: 44.798: [DefNew: 144211K->4462K(157248K), 0.0062172 secs] 168827K->29078K(506816K), 0.0063214 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:21.990-0800: 45.040: [GC (Allocation Failure) 2020-10-28T22:53:21.990-0800: 45.040: [DefNew: 144238K->4530K(157248K), 0.0064002 secs] 168854K->29146K(506816K), 0.0065048 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T22:53:22.217-0800: 45.267: [GC (Allocation Failure) 2020-10-28T22:53:22.217-0800: 45.267: [DefNew: 144306K->4418K(157248K), 0.0056800 secs] 168922K->29033K(506816K), 0.0057767 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:22.449-0800: 45.499: [GC (Allocation Failure) 2020-10-28T22:53:22.449-0800: 45.499: [DefNew: 144194K->4451K(157248K), 0.0054616 secs] 168809K->29066K(506816K), 0.0055598 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:22.658-0800: 45.708: [GC (Allocation Failure) 2020-10-28T22:53:22.658-0800: 45.708: [DefNew: 144227K->4445K(157248K), 0.0048149 secs] 168842K->29061K(506816K), 0.0049195 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:22.848-0800: 45.897: [GC (Allocation Failure) 2020-10-28T22:53:22.848-0800: 45.897: [DefNew: 144221K->4420K(157248K), 0.0044150 secs] 168837K->29036K(506816K), 0.0045000 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:53:23.034-0800: 46.084: [GC (Allocation Failure) 2020-10-28T22:53:23.034-0800: 46.084: [DefNew: 144196K->4645K(157248K), 0.0057691 secs] 168812K->29260K(506816K), 0.0058553 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
